X	Y	eta_m
-875.000000	-275.000000	0.096732
-875.000000	-225.000000	0.103651
-875.000000	-175.000000	-1.605418
-875.000000	775.000000	-5.000000
-875.000000	825.000000	-1.258781
-875.000000	875.000000	-0.316263
-875.000000	925.000000	0.100000
-875.000000	975.000000	0.100000
-875.000000	1025.000000	0.100000
-875.000000	1075.000000	0.100000
-875.000000	1125.000000	0.100000
-875.000000	1175.000000	0.100000
-875.000000	1225.000000	0.100000
-875.000000	1275.000000	0.100000
-875.000000	1325.000000	0.100000
-875.000000	1375.000000	0.100000
-875.000000	1425.000000	0.100000
-875.000000	1475.000000	0.100000
-875.000000	1525.000000	0.100000
-875.000000	1575.000000	0.100000
-875.000000	1625.000000	0.100000
-875.000000	1675.000000	0.100000
-875.000000	1725.000000	0.116737
-875.000000	1775.000000	0.138862
-875.000000	1825.000000	0.166065
-875.000000	1875.000000	0.196206
-875.000000	1925.000000	0.204059
-875.000000	1975.000000	0.212507
-825.000000	-1975.000000	0.097951
-825.000000	-1925.000000	0.088320
-825.000000	-1875.000000	0.098530
-825.000000	-1825.000000	0.100000
-825.000000	-1775.000000	0.092138
-825.000000	-1725.000000	0.116495
-825.000000	-1675.000000	0.100000
-825.000000	-1625.000000	0.094388
-825.000000	-1575.000000	0.100543
-825.000000	-1525.000000	0.106481
-825.000000	-1475.000000	0.123055
-825.000000	-1425.000000	0.122026
-825.000000	-1375.000000	0.127198
-825.000000	-1325.000000	0.135256
-825.000000	-1275.000000	0.129237
-825.000000	-1225.000000	0.114364
-825.000000	-1175.000000	0.112689
-825.000000	-1125.000000	0.126450
-825.000000	-1075.000000	0.100000
-825.000000	-1025.000000	0.100000
-825.000000	-975.000000	0.100000
-825.000000	-925.000000	0.100000
-825.000000	-875.000000	0.100000
-825.000000	-825.000000	0.100000
-825.000000	-775.000000	0.100698
-825.000000	-725.000000	0.100000
-825.000000	-675.000000	0.100000
-825.000000	-625.000000	0.100000
-825.000000	-575.000000	0.100000
-825.000000	-525.000000	0.100000
-825.000000	-475.000000	0.100000
-825.000000	-425.000000	0.100000
-825.000000	-375.000000	0.046889
-825.000000	-325.000000	0.049983
-825.000000	-275.000000	0.002181
-825.000000	-225.000000	-0.380810
-825.000000	725.000000	-5.000000
-825.000000	775.000000	-1.635071
-825.000000	825.000000	-0.513672
-825.000000	875.000000	0.100000
-825.000000	925.000000	0.100000
-825.000000	975.000000	0.100000
-825.000000	1025.000000	0.100000
-825.000000	1075.000000	0.100000
-825.000000	1125.000000	0.100000
